CÓDIGO PRINCIPAL,DESCRIPCIÓN DIAGNÓSTICO PRINCIPAL,CÓDIGO SECUNDARIO,DESCRIPCIÓN DIAGNÓSTICO SECUNDARIO,RATIO
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F14,Trastornos relacionados con cocaína,1.0775193798
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F16,Trastornos relacionados con alucinógenos,1.0658914729
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F17,Dependencia de nicotina,1.0658914729
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F18,Trastornos relacionados con inhalantes,1.0775193798
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F19,Trastornos relacionados con otras sustancias psicoactivas,1.0775193798
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F20,Esquizofrenia,1.0426356589
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F21,Trastorno esquizotípico,1.0968992248
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F25,Trastornos esquizoafectivos,1.0426356589
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F32,"Trastorno depresivo, episodio único ",1.019379845
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F34,Trastornos persistentes del estado de ánimo [afectivos],1.0968992248
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F40,Trastornos de ansiedad fóbica,1.0387596899
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F41,Otros trastornos de ansiedad,1.0387596899
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F42,Trastorno obsesivo-compulsivo,1.0387596899
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F44,Trastornos disociativos y de conversión,1.0387596899
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F45,Trastornos somatomorfos,1.0387596899
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F48,Otros trastornos mentales no psicóticos,1.0387596899
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F50,Trastornos de la conducta alimentaria,1.0968992248
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F51,Trastornos del sueño no debidos a sustancia ni afección fisiológica conocida,1.0968992248
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F53,Psicosis puerperal,1.015503876
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F55,Abuso de sustancias no psicoactivas,1.0658914729
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F60,Trastornos específicos de personalidad,1.0968992248
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F68,Otros trastornos de personalidad y comportamiento del adulto,1.0968992248
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F69,"Trastorno de personalidad y comportamiento del adulto, no especificado",1.0968992248
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F93,Trastornos emocionales con inicio específico en la infancia,1.0348837209
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F95,Trastorno de tics,1.0968992248
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F98,Otros trastornos de conducta y emociones cuyo inicio se presenta habitualmente en infancia y adolescencia,1.0968992248
F39,"Trastorno del estado de ánimo [afectivo], no especificado",F99,"Trastorno mental, no especificado de otro modo",1.0387596899
F39,"Trastorno del estado de ánimo [afectivo], no especificado",G40,Epilepsia y crisis epilépticas recurrentes,1.0542635659
F39,"Trastorno del estado de ánimo [afectivo], no especificado",G47,Trastornos del sueño,1.0503875969
F39,"Trastorno del estado de ánimo [afectivo], no especificado",G56,Mononeuropatías de extremidad superior,1.0852713178
F39,"Trastorno del estado de ánimo [afectivo], no especificado",G58,Otras mononeuropatías,1.0852713178
F39,"Trastorno del estado de ánimo [afectivo], no especificado",M15,Poliartrosis,1.0310077519
F39,"Trastorno del estado de ánimo [afectivo], no especificado",M16,Artrosis de cadera,1.0310077519
F39,"Trastorno del estado de ánimo [afectivo], no especificado",M17,Artrosis de rodilla,1.0310077519
F39,"Trastorno del estado de ánimo [afectivo], no especificado",M18,Artrosis de primera articulación carpometacarpiana,1.0310077519
F39,"Trastorno del estado de ánimo [afectivo], no especificado",M19,Otras artrosis y las no especificadas,1.0310077519
F39,"Trastorno del estado de ánimo [afectivo], no especificado",M23,Trastorno interno de rodilla,1.0426356589
F39,"Trastorno del estado de ánimo [afectivo], no especificado",M25,"Otros trastornos de articulación, no clasificados bajo otro concepto",1.0968992248
F39,"Trastorno del estado de ánimo [afectivo], no especificado",M48,Otras espondilopatías,1.0387596899
F39,"Trastorno del estado de ánimo [afectivo], no especificado",M50,Trastornos de disco cervical,1.0775193798
F39,"Trastorno del estado de ánimo [afectivo], no especificado",M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",1.0775193798
F39,"Trastorno del estado de ánimo [afectivo], no especificado",M53,"Otras dorsopatías y las no especificadas, no clasificadas bajo otro concepto",1.007751938
F39,"Trastorno del estado de ánimo [afectivo], no especificado",M54,Dorsalgia,1.007751938
F39,"Trastorno del estado de ánimo [afectivo], no especificado",M60,Miositis,1.0387596899
F39,"Trastorno del estado de ánimo [afectivo], no especificado",M70,"Trastorno de partes blandas en relación con uso, uso excesivo y presión",1.0542635659
F39,"Trastorno del estado de ánimo [afectivo], no especificado",M75,Lesiones de hombro,1.0542635659
F39,"Trastorno del estado de ánimo [afectivo], no especificado",M76,"Entesopatías, extremidad inferior, excluido el pie",1.0542635659
F39,"Trastorno del estado de ánimo [afectivo], no especificado",M77,Otros tipos de entesopatías,1.0542635659
F39,"Trastorno del estado de ánimo [afectivo], no especificado",M79,"Otros trastornos de partes blandas y los no especificados, no clasificados bajo otro concepto",1.0387596899
F39,"Trastorno del estado de ánimo [afectivo], no especificado",R40,"Somnolencia, estupor y coma",1.0503875969
F39,"Trastorno del estado de ánimo [afectivo], no especificado",R41,Otros síntomas y signos que afectan a las funciones cognitivas y la conciencia,1.0503875969
F39,"Trastorno del estado de ánimo [afectivo], no especificado",R42,Mareo y desvanecimiento,1.0503875969
F39,"Trastorno del estado de ánimo [afectivo], no especificado",R44,Otros síntomas y signos que afectan a las sensaciones y percepciones generales,1.0503875969
F39,"Trastorno del estado de ánimo [afectivo], no especificado",R50,Fiebre de otro origen y de origen desconocido,1.0503875969
F39,"Trastorno del estado de ánimo [afectivo], no especificado",R53,Malestar y fatiga,1.0503875969
F39,"Trastorno del estado de ánimo [afectivo], no especificado",R55,Síncope y colapso,1.0503875969
F39,"Trastorno del estado de ánimo [afectivo], no especificado",R56,"Convulsiones, no clasificadas bajo otro concepto",1.0503875969
F39,"Trastorno del estado de ánimo [afectivo], no especificado",R61,Hiperhidrosis generalizada,1.0503875969
F39,"Trastorno del estado de ánimo [afectivo], no especificado",R68,Otros síntomas y signos generales,1.0503875969
F40,Trastornos de ansiedad fóbica,C50,Neoplasia maligna de mama,1.1240310078
F40,Trastornos de ansiedad fóbica,D50,Anemia por carencia de hierro,1.0387596899
F40,Trastornos de ansiedad fóbica,E07,Otros trastornos tiroideos,1.1627906977
F40,Trastornos de ansiedad fóbica,E10,Diabetes mellitus tipo 1,1.1899224806
F40,Trastornos de ansiedad fóbica,E11,Diabetes mellitus tipo 2,1.1899224806
F40,Trastornos de ansiedad fóbica,E35,Trastornos de glándulas endocrinas en enfermedades clasificadas bajo otro concepto,1.1627906977
F40,Trastornos de ansiedad fóbica,E65,Adiposidad localizada,1.2751937984
F40,Trastornos de ansiedad fóbica,E66,Sobrepeso y obesidad,1.2751937984
F40,Trastornos de ansiedad fóbica,E67,Otros tipos de hiperalimentación,1.2751937984
F40,Trastornos de ansiedad fóbica,E68,Secuelas de hiperalimentación,1.2751937984
F40,Trastornos de ansiedad fóbica,F05,Delirio debido a afección fisiológica conocida,1.0852713178
F40,Trastornos de ansiedad fóbica,F06,Otros trastornos mentales debidos a afección fisiológica conocida,1.0852713178
F40,Trastornos de ansiedad fóbica,F10,Trastornos relacionados con alcohol,1.1899224806
F40,Trastornos de ansiedad fóbica,F13,"Trastornos relacionados con sedantes, hipnóticos o ansiolíticos",1.1317829457
F40,Trastornos de ansiedad fóbica,F14,Trastornos relacionados con cocaína,1.2751937984
F40,Trastornos de ansiedad fóbica,F16,Trastornos relacionados con alucinógenos,1.1317829457
F40,Trastornos de ansiedad fóbica,F17,Dependencia de nicotina,1.1317829457
F40,Trastornos de ansiedad fóbica,F18,Trastornos relacionados con inhalantes,1.2751937984
F40,Trastornos de ansiedad fóbica,F19,Trastornos relacionados con otras sustancias psicoactivas,1.2751937984
F40,Trastornos de ansiedad fóbica,F21,Trastorno esquizotípico,1.2480620155
F40,Trastornos de ansiedad fóbica,F30,Episodio maníaco,1.2674418605
F40,Trastornos de ansiedad fóbica,F31,Trastorno bipolar,1.2674418605
F40,Trastornos de ansiedad fóbica,F32,"Trastorno depresivo mayor, episodio único",1.2674418605
F40,Trastornos de ansiedad fóbica,F33,"Trastorno depresivo mayor, recurrente",1.2674418605
F40,Trastornos de ansiedad fóbica,F34,Trastornos persistentes del estado de ánimo [afectivos],1.2480620155
F40,Trastornos de ansiedad fóbica,F39,"Trastorno del estado de ánimo [afectivo], no especificado",1.2674418605
F40,Trastornos de ansiedad fóbica,F50,Trastornos de la conducta alimentaria,1.2751937984
F40,Trastornos de ansiedad fóbica,F51,Trastornos del sueño no debidos a sustancia ni afección fisiológica conocida,1.2751937984
F40,Trastornos de ansiedad fóbica,F53,Psicosis puerperal,1.0852713178
F40,Trastornos de ansiedad fóbica,F55,Abuso de sustancias no psicoactivas,1.1317829457
F40,Trastornos de ansiedad fóbica,F60,Trastornos específicos de personalidad,1.2480620155
F40,Trastornos de ansiedad fóbica,F68,Otros trastornos de personalidad y comportamiento del adulto,1.2480620155
F40,Trastornos de ansiedad fóbica,F69,"Trastorno de personalidad y comportamiento del adulto, no especificado",1.2480620155
F40,Trastornos de ansiedad fóbica,F93,Trastornos emocionales con inicio específico en la infancia,1.1705426357
F40,Trastornos de ansiedad fóbica,F95,Trastorno de tics,1.2751937984
F40,Trastornos de ansiedad fóbica,F98,Otros trastornos de conducta y emociones cuyo inicio se presenta habitualmente en infancia y adolescencia,1.2751937984
F40,Trastornos de ansiedad fóbica,G10,Enfermedad de Huntington,1.2248062016
F40,Trastornos de ansiedad fóbica,G21,Parkinsonismo secundario,1.2248062016
F40,Trastornos de ansiedad fóbica,G23,Otras enfermedades degenerativas de los núcleos de la base,1.2248062016
F40,Trastornos de ansiedad fóbica,G24,Distonía,1.2248062016
F40,Trastornos de ansiedad fóbica,G25,Otros trastornos extrapiramidales y del movimiento,1.2248062016
F40,Trastornos de ansiedad fóbica,G26,Trastornos extrapiramidales y del movimiento en enfermedades clasificadas bajo otro concepto,1.2248062016
F40,Trastornos de ansiedad fóbica,G40,Epilepsia y crisis epilépticas recurrentes,1.1240310078
F40,Trastornos de ansiedad fóbica,G43,Migraña,1.0503875969
F40,Trastornos de ansiedad fóbica,G47,Trastornos del sueño,1.0775193798
F40,Trastornos de ansiedad fóbica,G56,Mononeuropatías de extremidad superior,1.1627906977
F40,Trastornos de ansiedad fóbica,G58,Otras mononeuropatías,1.1627906977
F40,Trastornos de ansiedad fóbica,H81,Trastornos de la función vestibular,1.0620155039
F40,Trastornos de ansiedad fóbica,H82,Síndromes vertiginosos en enfermedades clasificadas bajo otro concepto,1.0620155039
F40,Trastornos de ansiedad fóbica,H83,Otras enfermedades del oído interno,1.0620155039
F40,Trastornos de ansiedad fóbica,I46,Paro cardiaco,1.1007751938
F40,Trastornos de ansiedad fóbica,I47,Taquicardia paroxística,1.1007751938
F40,Trastornos de ansiedad fóbica,I48,Fibrilación y flutter auricular,1.1007751938
F40,Trastornos de ansiedad fóbica,I49,Otras arritmias cardiacas,1.1007751938
F40,Trastornos de ansiedad fóbica,K51,Colitis ulcerosa,1.1279069767
F40,Trastornos de ansiedad fóbica,M05,Artritis reumatoide con factor reumatoide,1.0930232558
F40,Trastornos de ansiedad fóbica,M06,Otros tipos de artritis reumatoide,1.0930232558
F40,Trastornos de ansiedad fóbica,M08,Artritis juvenil,1.0930232558
F40,Trastornos de ansiedad fóbica,M12,Otras artropatías y las no especificadas,1.0930232558
F40,Trastornos de ansiedad fóbica,M15,Poliartrosis,1.1007751938
F40,Trastornos de ansiedad fóbica,M16,Artrosis de cadera,1.1007751938
F40,Trastornos de ansiedad fóbica,M17,Artrosis de rodilla,1.1007751938
F40,Trastornos de ansiedad fóbica,M18,Artrosis de primera articulación carpometacarpiana,1.1007751938
F40,Trastornos de ansiedad fóbica,M19,Otras artrosis y las no especificadas,1.1007751938
F40,Trastornos de ansiedad fóbica,M23,Trastorno interno de rodilla,1.1744186047
F40,Trastornos de ansiedad fóbica,M25,"Otros trastornos de articulación, no clasificados bajo otro concepto",1.1124031008
F40,Trastornos de ansiedad fóbica,M47,Espondilosis,1.0775193798
F40,Trastornos de ansiedad fóbica,M48,Otras espondilopatías,1.0310077519
F40,Trastornos de ansiedad fóbica,M50,Trastornos de disco cervical,1.1589147287
F40,Trastornos de ansiedad fóbica,M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",1.1589147287
F40,Trastornos de ansiedad fóbica,M53,"Otras dorsopatías y las no especificadas, no clasificadas bajo otro concepto",1.0813953488
F40,Trastornos de ansiedad fóbica,M54,Dorsalgia,1.0813953488
F40,Trastornos de ansiedad fóbica,M60,Miositis,1.0930232558
F40,Trastornos de ansiedad fóbica,M65,Sinovitis y tenosinovitis,1.2441860465
F40,Trastornos de ansiedad fóbica,M66,Ruptura espontánea de membrana sinovial y tendón,1.2441860465
F40,Trastornos de ansiedad fóbica,M67,Otros trastornos de membrana sinovial y tendón,1.2441860465
F40,Trastornos de ansiedad fóbica,M70,"Trastorno de partes blandas en relación con uso, uso excesivo y presión",1.1279069767
F40,Trastornos de ansiedad fóbica,M71,Otras bursopatías,1.2441860465
F40,Trastornos de ansiedad fóbica,M75,Lesiones de hombro,1.1279069767
F40,Trastornos de ansiedad fóbica,M76,"Entesopatías, extremidad inferior, excluido el pie",1.1279069767
F40,Trastornos de ansiedad fóbica,M77,Otros tipos de entesopatías,1.1279069767
F40,Trastornos de ansiedad fóbica,M79,"Otros trastornos de partes blandas y los no especificados, no clasificados bajo otro concepto",1.0930232558
F40,Trastornos de ansiedad fóbica,N23,Cólico renal no especificado,1.2364341085
F40,Trastornos de ansiedad fóbica,R04,Hemorragia de las vías respiratorias,1.1124031008
F40,Trastornos de ansiedad fóbica,R05,Tos,1.0891472868
F40,Trastornos de ansiedad fóbica,R06,Alteraciones de la respiración,1.0891472868
F40,Trastornos de ansiedad fóbica,R07,Dolor de garganta y de tórax,1.1124031008
F40,Trastornos de ansiedad fóbica,R30,Dolor asociado a la micción,1.2364341085
F40,Trastornos de ansiedad fóbica,R32,Incontinencia urinaria no especificada,1.2364341085
F40,Trastornos de ansiedad fóbica,R33,Retención urinaria,1.2364341085
F40,Trastornos de ansiedad fóbica,R34,Anuria y oliguria,1.2364341085
F40,Trastornos de ansiedad fóbica,R35,Poliuria,1.2364341085
F40,Trastornos de ansiedad fóbica,R36,Secreción uretral,1.2364341085
F40,Trastornos de ansiedad fóbica,R39,"Otros síntomas y signos que afectan al aparato genitourinario, y los no especificados",1.2364341085
F40,Trastornos de ansiedad fóbica,R40,"Somnolencia, estupor y coma",1.0775193798
F40,Trastornos de ansiedad fóbica,R41,Otros síntomas y signos que afectan a las funciones cognitivas y la conciencia,1.0775193798
F40,Trastornos de ansiedad fóbica,R42,Mareo y desvanecimiento,1.0775193798
F40,Trastornos de ansiedad fóbica,R44,Otros síntomas y signos que afectan a las sensaciones y percepciones generales,1.0775193798
F40,Trastornos de ansiedad fóbica,R47,"Alteraciones del habla, no clasificadas bajo otro concepto",1.1124031008
F40,Trastornos de ansiedad fóbica,R49,Trastornos de la voz y la resonancia,1.1124031008
F40,Trastornos de ansiedad fóbica,R50,Fiebre de otro origen y de origen desconocido,1.0775193798
F40,Trastornos de ansiedad fóbica,R51,Cefalea,1.1124031008
F40,Trastornos de ansiedad fóbica,R53,Malestar y fatiga,1.0775193798
F40,Trastornos de ansiedad fóbica,R55,Síncope y colapso,1.0775193798
F40,Trastornos de ansiedad fóbica,R56,"Convulsiones, no clasificadas bajo otro concepto",1.0775193798
F40,Trastornos de ansiedad fóbica,R61,Hiperhidrosis generalizada,1.0775193798
F40,Trastornos de ansiedad fóbica,R68,Otros síntomas y signos generales,1.0775193798
F40,Trastornos de ansiedad fóbica,R90,Hallazgos anormales en diagnóstico por imagen del sistema nervioso central,1.1124031008
F40,Trastornos de ansiedad fóbica,S52,Fractura de antebrazo,1.2286821705
F40,Trastornos de ansiedad fóbica,S59,Otros traumatismos y los no especificados de codo y antebrazo,1.2286821705
F41,Otros trastornos de ansiedad,C50,Neoplasia maligna de mama,1.1240310078
F41,Otros trastornos de ansiedad,D50,Anemia por carencia de hierro,1.0387596899
F41,Otros trastornos de ansiedad,E07,Otros trastornos tiroideos,1.1627906977
F41,Otros trastornos de ansiedad,E10,Diabetes mellitus tipo 1,1.1899224806
F41,Otros trastornos de ansiedad,E11,Diabetes mellitus tipo 2,1.1899224806
F41,Otros trastornos de ansiedad,E35,Trastornos de glándulas endocrinas en enfermedades clasificadas bajo otro concepto,1.1627906977
F41,Otros trastornos de ansiedad,E65,Adiposidad localizada,1.2751937984
F41,Otros trastornos de ansiedad,E66,Sobrepeso y obesidad,1.2751937984
F41,Otros trastornos de ansiedad,E67,Otros tipos de hiperalimentación,1.2751937984
F41,Otros trastornos de ansiedad,E68,Secuelas de hiperalimentación,1.2751937984
F41,Otros trastornos de ansiedad,F05,Delirio debido a afección fisiológica conocida,1.0852713178
F41,Otros trastornos de ansiedad,F06,Otros trastornos mentales debidos a afección fisiológica conocida,1.0852713178
F41,Otros trastornos de ansiedad,F10,Trastornos relacionados con alcohol,1.1899224806
F41,Otros trastornos de ansiedad,F13,"Trastornos relacionados con sedantes, hipnóticos o ansiolíticos",1.1317829457
F41,Otros trastornos de ansiedad,F14,Trastornos relacionados con cocaína,1.2751937984
F41,Otros trastornos de ansiedad,F16,Trastornos relacionados con alucinógenos,1.1317829457
F41,Otros trastornos de ansiedad,F17,Dependencia de nicotina,1.1317829457
F41,Otros trastornos de ansiedad,F18,Trastornos relacionados con inhalantes,1.2751937984
F41,Otros trastornos de ansiedad,F19,Trastornos relacionados con otras sustancias psicoactivas,1.2751937984
F41,Otros trastornos de ansiedad,F21,Trastorno esquizotípico,1.2480620155
F41,Otros trastornos de ansiedad,F30,Episodio maníaco,1.2674418605
F41,Otros trastornos de ansiedad,F31,Trastorno bipolar,1.2674418605
F41,Otros trastornos de ansiedad,F32,"Trastorno depresivo mayor, episodio único",1.2674418605
F41,Otros trastornos de ansiedad,F33,"Trastorno depresivo mayor, recurrente",1.2674418605
F41,Otros trastornos de ansiedad,F34,Trastornos persistentes del estado de ánimo [afectivos],1.2480620155
F41,Otros trastornos de ansiedad,F39,"Trastorno del estado de ánimo [afectivo], no especificado",1.2674418605
F41,Otros trastornos de ansiedad,F50,Trastornos de la conducta alimentaria,1.2751937984
F41,Otros trastornos de ansiedad,F51,Trastornos del sueño no debidos a sustancia ni afección fisiológica conocida,1.2751937984
F41,Otros trastornos de ansiedad,F53,Psicosis puerperal,1.0852713178
F41,Otros trastornos de ansiedad,F55,Abuso de sustancias no psicoactivas,1.1317829457
F41,Otros trastornos de ansiedad,F60,Trastornos específicos de personalidad,1.2480620155
F41,Otros trastornos de ansiedad,F68,Otros trastornos de personalidad y comportamiento del adulto,1.2480620155
F41,Otros trastornos de ansiedad,F69,"Trastorno de personalidad y comportamiento del adulto, no especificado",1.2480620155
F41,Otros trastornos de ansiedad,F93,Trastornos emocionales con inicio específico en la infancia,1.1705426357
F41,Otros trastornos de ansiedad,F95,Trastorno de tics,1.2751937984
F41,Otros trastornos de ansiedad,F98,Otros trastornos de conducta y emociones cuyo inicio se presenta habitualmente en infancia y adolescencia,1.2751937984
F41,Otros trastornos de ansiedad,G10,Enfermedad de Huntington,1.2248062016
F41,Otros trastornos de ansiedad,G21,Parkinsonismo secundario,1.2248062016
F41,Otros trastornos de ansiedad,G23,Otras enfermedades degenerativas de los núcleos de la base,1.2248062016
F41,Otros trastornos de ansiedad,G24,Distonía,1.2248062016
F41,Otros trastornos de ansiedad,G25,Otros trastornos extrapiramidales y del movimiento,1.2248062016
F41,Otros trastornos de ansiedad,G26,Trastornos extrapiramidales y del movimiento en enfermedades clasificadas bajo otro concepto,1.2248062016
F41,Otros trastornos de ansiedad,G40,Epilepsia y crisis epilépticas recurrentes,1.1240310078
F41,Otros trastornos de ansiedad,G43,Migraña,1.0503875969
F41,Otros trastornos de ansiedad,G47,Trastornos del sueño,1.0775193798
F41,Otros trastornos de ansiedad,G56,Mononeuropatías de extremidad superior,1.1627906977
F41,Otros trastornos de ansiedad,G58,Otras mononeuropatías,1.1627906977
F41,Otros trastornos de ansiedad,H81,Trastornos de la función vestibular,1.0620155039
F41,Otros trastornos de ansiedad,H82,Síndromes vertiginosos en enfermedades clasificadas bajo otro concepto,1.0620155039
F41,Otros trastornos de ansiedad,H83,Otras enfermedades del oído interno,1.0620155039
F41,Otros trastornos de ansiedad,I46,Paro cardiaco,1.1007751938
F41,Otros trastornos de ansiedad,I47,Taquicardia paroxística,1.1007751938
F41,Otros trastornos de ansiedad,I48,Fibrilación y flutter auricular,1.1007751938
F41,Otros trastornos de ansiedad,I49,Otras arritmias cardiacas,1.1007751938
F41,Otros trastornos de ansiedad,K51,Colitis ulcerosa,1.1279069767
F41,Otros trastornos de ansiedad,M05,Artritis reumatoide con factor reumatoide,1.0930232558
F41,Otros trastornos de ansiedad,M06,Otros tipos de artritis reumatoide,1.0930232558
F41,Otros trastornos de ansiedad,M08,Artritis juvenil,1.0930232558
F41,Otros trastornos de ansiedad,M12,Otras artropatías y las no especificadas,1.0930232558
F41,Otros trastornos de ansiedad,M15,Poliartrosis,1.1007751938
F41,Otros trastornos de ansiedad,M16,Artrosis de cadera,1.1007751938
F41,Otros trastornos de ansiedad,M17,Artrosis de rodilla,1.1007751938
F41,Otros trastornos de ansiedad,M18,Artrosis de primera articulación carpometacarpiana,1.1007751938
F41,Otros trastornos de ansiedad,M19,Otras artrosis y las no especificadas,1.1007751938
F41,Otros trastornos de ansiedad,M23,Trastorno interno de rodilla,1.1744186047
F41,Otros trastornos de ansiedad,M25,"Otros trastornos de articulación, no clasificados bajo otro concepto",1.1124031008
F41,Otros trastornos de ansiedad,M47,Espondilosis,1.0775193798
F41,Otros trastornos de ansiedad,M48,Otras espondilopatías,1.0310077519
F41,Otros trastornos de ansiedad,M50,Trastornos de disco cervical,1.1589147287
F41,Otros trastornos de ansiedad,M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",1.1589147287
F41,Otros trastornos de ansiedad,M53,"Otras dorsopatías y las no especificadas, no clasificadas bajo otro concepto",1.0813953488
F41,Otros trastornos de ansiedad,M54,Dorsalgia,1.0813953488
F41,Otros trastornos de ansiedad,M60,Miositis,1.0930232558
F41,Otros trastornos de ansiedad,M65,Sinovitis y tenosinovitis,1.2441860465
F41,Otros trastornos de ansiedad,M66,Ruptura espontánea de membrana sinovial y tendón,1.2441860465
F41,Otros trastornos de ansiedad,M67,Otros trastornos de membrana sinovial y tendón,1.2441860465
F41,Otros trastornos de ansiedad,M70,"Trastorno de partes blandas en relación con uso, uso excesivo y presión",1.1279069767
F41,Otros trastornos de ansiedad,M71,Otras bursopatías,1.2441860465
F41,Otros trastornos de ansiedad,M75,Lesiones de hombro,1.1279069767
F41,Otros trastornos de ansiedad,M76,"Entesopatías, extremidad inferior, excluido el pie",1.1279069767
F41,Otros trastornos de ansiedad,M77,Otros tipos de entesopatías,1.1279069767
F41,Otros trastornos de ansiedad,M79,"Otros trastornos de partes blandas y los no especificados, no clasificados bajo otro concepto",1.0930232558
F41,Otros trastornos de ansiedad,N23,Cólico renal no especificado,1.2364341085
F41,Otros trastornos de ansiedad,R04,Hemorragia de las vías respiratorias,1.1124031008
F41,Otros trastornos de ansiedad,R05,Tos,1.0891472868
F41,Otros trastornos de ansiedad,R06,Alteraciones de la respiración,1.0891472868
F41,Otros trastornos de ansiedad,R07,Dolor de garganta y de tórax,1.1124031008
F41,Otros trastornos de ansiedad,R30,Dolor asociado a la micción,1.2364341085
F41,Otros trastornos de ansiedad,R32,Incontinencia urinaria no especificada,1.2364341085
F41,Otros trastornos de ansiedad,R33,Retención urinaria,1.2364341085
F41,Otros trastornos de ansiedad,R34,Anuria y oliguria,1.2364341085
F41,Otros trastornos de ansiedad,R35,Poliuria,1.2364341085
F41,Otros trastornos de ansiedad,R36,Secreción uretral,1.2364341085
F41,Otros trastornos de ansiedad,R39,"Otros síntomas y signos que afectan al aparato genitourinario, y los no especificados",1.2364341085
F41,Otros trastornos de ansiedad,R40,"Somnolencia, estupor y coma",1.0775193798
F41,Otros trastornos de ansiedad,R41,Otros síntomas y signos que afectan a las funciones cognitivas y la conciencia,1.0775193798
F41,Otros trastornos de ansiedad,R42,Mareo y desvanecimiento,1.0775193798
F41,Otros trastornos de ansiedad,R44,Otros síntomas y signos que afectan a las sensaciones y percepciones generales,1.0775193798
F41,Otros trastornos de ansiedad,R47,"Alteraciones del habla, no clasificadas bajo otro concepto",1.1124031008
F41,Otros trastornos de ansiedad,R49,Trastornos de la voz y la resonancia,1.1124031008
F41,Otros trastornos de ansiedad,R50,Fiebre de otro origen y de origen desconocido,1.0775193798
F41,Otros trastornos de ansiedad,R51,Cefalea,1.1124031008
F41,Otros trastornos de ansiedad,R53,Malestar y fatiga,1.0775193798
F41,Otros trastornos de ansiedad,R55,Síncope y colapso,1.0775193798
F41,Otros trastornos de ansiedad,R56,"Convulsiones, no clasificadas bajo otro concepto",1.0775193798
F41,Otros trastornos de ansiedad,R61,Hiperhidrosis generalizada,1.0775193798
F41,Otros trastornos de ansiedad,R68,Otros síntomas y signos generales,1.0775193798
F41,Otros trastornos de ansiedad,R90,Hallazgos anormales en diagnóstico por imagen del sistema nervioso central,1.1124031008
F41,Otros trastornos de ansiedad,S52,Fractura de antebrazo,1.2286821705
F41,Otros trastornos de ansiedad,S59,Otros traumatismos y los no especificados de codo y antebrazo,1.2286821705
F42,Trastorno obsesivo-compulsivo,C50,Neoplasia maligna de mama,1.1240310078
F42,Trastorno obsesivo-compulsivo,D50,Anemia por carencia de hierro,1.0387596899
F42,Trastorno obsesivo-compulsivo,E07,Otros trastornos tiroideos,1.1627906977
F42,Trastorno obsesivo-compulsivo,E10,Diabetes mellitus tipo 1,1.1899224806
F42,Trastorno obsesivo-compulsivo,E11,Diabetes mellitus tipo 2,1.1899224806
F42,Trastorno obsesivo-compulsivo,E35,Trastornos de glándulas endocrinas en enfermedades clasificadas bajo otro concepto,1.1627906977
F42,Trastorno obsesivo-compulsivo,E65,Adiposidad localizada,1.2751937984
F42,Trastorno obsesivo-compulsivo,E66,Sobrepeso y obesidad,1.2751937984
F42,Trastorno obsesivo-compulsivo,E67,Otros tipos de hiperalimentación,1.2751937984
F42,Trastorno obsesivo-compulsivo,E68,Secuelas de hiperalimentación,1.2751937984
F42,Trastorno obsesivo-compulsivo,F05,Delirio debido a afección fisiológica conocida,1.0852713178
F42,Trastorno obsesivo-compulsivo,F06,Otros trastornos mentales debidos a afección fisiológica conocida,1.0852713178
F42,Trastorno obsesivo-compulsivo,F10,Trastornos relacionados con alcohol,1.1899224806
F42,Trastorno obsesivo-compulsivo,F13,"Trastornos relacionados con sedantes, hipnóticos o ansiolíticos",1.1317829457
F42,Trastorno obsesivo-compulsivo,F14,Trastornos relacionados con cocaína,1.2751937984
F42,Trastorno obsesivo-compulsivo,F16,Trastornos relacionados con alucinógenos,1.1317829457
F42,Trastorno obsesivo-compulsivo,F17,Dependencia de nicotina,1.1317829457
