CÓDIGO,DESCRIPCIÓN,GRUPO EDAD,RATIO
G20,Enfermedad de Parkinson,36-45,0.88
G20,Enfermedad de Parkinson,46-55,0.95
G20,Enfermedad de Parkinson,56-65,1.05
G21,Parkinsonismo secundario,16-25,0.41
G21,Parkinsonismo secundario,26-35,0.61
G21,Parkinsonismo secundario,36-45,0.87
G21,Parkinsonismo secundario,46-55,1.29
G21,Parkinsonismo secundario,56-65,1.66
G23,Otras enfermedades degenerativas de los núcleos de la base,16-25,0.41
G23,Otras enfermedades degenerativas de los núcleos de la base,26-35,0.61
G23,Otras enfermedades degenerativas de los núcleos de la base,36-45,0.87
G23,Otras enfermedades degenerativas de los núcleos de la base,46-55,1.29
G23,Otras enfermedades degenerativas de los núcleos de la base,56-65,1.66
G24,Distonía,16-25,0.41
G24,Distonía,26-35,0.61
G24,Distonía,36-45,0.87
G24,Distonía,46-55,1.29
G24,Distonía,56-65,1.66
G25,Otros trastornos extrapiramidales y del movimiento,16-25,0.41
G25,Otros trastornos extrapiramidales y del movimiento,26-35,0.61
G25,Otros trastornos extrapiramidales y del movimiento,36-45,0.87
G25,Otros trastornos extrapiramidales y del movimiento,46-55,1.29
G25,Otros trastornos extrapiramidales y del movimiento,56-65,1.66
G30,Enfermedad de Alzheimer,16-25,0.42
G30,Enfermedad de Alzheimer,26-35,0.62
G30,Enfermedad de Alzheimer,36-45,0.81
G30,Enfermedad de Alzheimer,46-55,1.05
G30,Enfermedad de Alzheimer,56-65,1.24
G31,"Otras enfermedades degenerativas del sistema nervioso, no clasificadas bajo otro concepto",16-25,0.42
G31,"Otras enfermedades degenerativas del sistema nervioso, no clasificadas bajo otro concepto",26-35,0.62
G31,"Otras enfermedades degenerativas del sistema nervioso, no clasificadas bajo otro concepto",36-45,0.81
G31,"Otras enfermedades degenerativas del sistema nervioso, no clasificadas bajo otro concepto",46-55,1.05
G31,"Otras enfermedades degenerativas del sistema nervioso, no clasificadas bajo otro concepto",56-65,1.24
G32,Otros trastornos degenerativos del sistema nervioso en enfermedades clasificadas bajo otro concepto,26-35,0.67
G32,Otros trastornos degenerativos del sistema nervioso en enfermedades clasificadas bajo otro concepto,36-45,0.98
G32,Otros trastornos degenerativos del sistema nervioso en enfermedades clasificadas bajo otro concepto,46-55,1.04
G32,Otros trastornos degenerativos del sistema nervioso en enfermedades clasificadas bajo otro concepto,56-65,1.16
G35,Esclerosis múltiple,16-25,0.72
G35,Esclerosis múltiple,26-35,0.81
G35,Esclerosis múltiple,36-45,0.97
G35,Esclerosis múltiple,46-55,1.17
G35,Esclerosis múltiple,56-65,1.47
G36,Otras desmielinizaciones diseminadas agudas,26-35,0.81
G36,Otras desmielinizaciones diseminadas agudas,36-45,1.09
G36,Otras desmielinizaciones diseminadas agudas,46-55,0.94
G36,Otras desmielinizaciones diseminadas agudas,56-65,1.74
G37,Otras enfermedades desmielinizantes del sistema nervioso central,26-35,0.81
G37,Otras enfermedades desmielinizantes del sistema nervioso central,36-45,1.09
G37,Otras enfermedades desmielinizantes del sistema nervioso central,46-55,0.94
G37,Otras enfermedades desmielinizantes del sistema nervioso central,56-65,1.74
G40,Epilepsia y crisis epilépticas recurrentes,16-25,0.57
G40,Epilepsia y crisis epilépticas recurrentes,26-35,0.81
G40,Epilepsia y crisis epilépticas recurrentes,36-45,0.9
G40,Epilepsia y crisis epilépticas recurrentes,46-55,1.19
G40,Epilepsia y crisis epilépticas recurrentes,56-65,1.68
G43,Migraña,16-25,0.59
G43,Migraña,26-35,0.94
G43,Migraña,36-45,1
G43,Migraña,46-55,1.16
G43,Migraña,56-65,1.27
G44,Otros síndromes de cefalea,16-25,0.37
G44,Otros síndromes de cefalea,26-35,0.76
G44,Otros síndromes de cefalea,36-45,1.1
G44,Otros síndromes de cefalea,46-55,1.11
G44,Otros síndromes de cefalea,56-65,1.44
G45,Accidentes isquémicos cerebrales transitorios y síndromes relacionados,26-35,0.71
G45,Accidentes isquémicos cerebrales transitorios y síndromes relacionados,36-45,0.86
G45,Accidentes isquémicos cerebrales transitorios y síndromes relacionados,46-55,0.96
G45,Accidentes isquémicos cerebrales transitorios y síndromes relacionados,56-65,1.13
G46,Síndromes vasculares cerebrales en enfermedades cerebrovasculares,26-35,0.71
G46,Síndromes vasculares cerebrales en enfermedades cerebrovasculares,36-45,0.86
G46,Síndromes vasculares cerebrales en enfermedades cerebrovasculares,46-55,0.96
G46,Síndromes vasculares cerebrales en enfermedades cerebrovasculares,56-65,1.13
G47,Trastornos del sueño,16-25,0.59
G47,Trastornos del sueño,26-35,0.84
G47,Trastornos del sueño,36-45,0.95
G47,Trastornos del sueño,46-55,1.05
G47,Trastornos del sueño,56-65,1.36
G50,Trastornos del nervio trigémino,16-25,0.58
G50,Trastornos del nervio trigémino,26-35,0.69
G50,Trastornos del nervio trigémino,36-45,0.79
G50,Trastornos del nervio trigémino,46-55,1.04
G50,Trastornos del nervio trigémino,56-65,1.61
G51,Trastornos del nervio facial,16-25,0.53
G51,Trastornos del nervio facial,26-35,0.73
G51,Trastornos del nervio facial,36-45,0.96
G51,Trastornos del nervio facial,46-55,1.14
G51,Trastornos del nervio facial,56-65,1.48
G52,Trastornos de otros nervios craneales,26-35,0.73
G52,Trastornos de otros nervios craneales,36-45,0.83
G52,Trastornos de otros nervios craneales,46-55,1.17
G52,Trastornos de otros nervios craneales,56-65,1.22
G54,Trastornos de raíces y de plexos nerviosos,16-25,1.02
G54,Trastornos de raíces y de plexos nerviosos,26-35,0.75
G54,Trastornos de raíces y de plexos nerviosos,36-45,0.89
G54,Trastornos de raíces y de plexos nerviosos,46-55,1.1
G54,Trastornos de raíces y de plexos nerviosos,56-65,1.2
G56,Mononeuropatías de extremidad superior,16-25,0.77
G56,Mononeuropatías de extremidad superior,26-35,0.86
G56,Mononeuropatías de extremidad superior,36-45,0.94
G56,Mononeuropatías de extremidad superior,46-55,1
G56,Mononeuropatías de extremidad superior,56-65,1.21
G57,Mononeuropatías de extremidad inferior,16-25,0.63
G57,Mononeuropatías de extremidad inferior,26-35,0.82
G57,Mononeuropatías de extremidad inferior,36-45,0.92
G57,Mononeuropatías de extremidad inferior,46-55,1.01
G57,Mononeuropatías de extremidad inferior,56-65,1.19
G58,Otras mononeuropatías,16-25,0.77
G58,Otras mononeuropatías,26-35,0.86
G58,Otras mononeuropatías,36-45,0.94
G58,Otras mononeuropatías,46-55,1
G58,Otras mononeuropatías,56-65,1.21
G60,Neuropatía hereditaria e idiopática,26-35,0.84
G60,Neuropatía hereditaria e idiopática,36-45,0.87
G60,Neuropatía hereditaria e idiopática,46-55,1.06
G60,Neuropatía hereditaria e idiopática,56-65,1.19
G61,Polineuropatía inflamatoria,26-35,0.8
G61,Polineuropatía inflamatoria,36-45,0.79
G61,Polineuropatía inflamatoria,46-55,1.03
G61,Polineuropatía inflamatoria,56-65,1.25
G62,Otras polineuropatías y las no especificadas,26-35,0.8
G62,Otras polineuropatías y las no especificadas,36-45,0.79
G62,Otras polineuropatías y las no especificadas,46-55,1.03
G62,Otras polineuropatías y las no especificadas,56-65,1.25
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,26-35,0.8
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,36-45,0.79
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,46-55,1.03
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,56-65,1.25
G70,Miastenia gravis y otros trastornos mioneurales,16-25,0.46
G70,Miastenia gravis y otros trastornos mioneurales,26-35,0.8
G70,Miastenia gravis y otros trastornos mioneurales,36-45,0.84
G70,Miastenia gravis y otros trastornos mioneurales,46-55,1.14
G70,Miastenia gravis y otros trastornos mioneurales,56-65,1.29
G71,Trastornos musculares primarios,16-25,0.41
G71,Trastornos musculares primarios,26-35,0.7
G71,Trastornos musculares primarios,36-45,0.9
G71,Trastornos musculares primarios,46-55,1.09
G71,Trastornos musculares primarios,56-65,1.41
G72,Otras miopatías y las no especificadas,16-25,0.41
G72,Otras miopatías y las no especificadas,26-35,0.7
G72,Otras miopatías y las no especificadas,36-45,0.9
G72,Otras miopatías y las no especificadas,46-55,1.09
G72,Otras miopatías y las no especificadas,56-65,1.41
G73,Trastornos del músculo y de la unión neuromuscular en enfermedades clasificadas bajo otro concepto,16-25,0.41
G73,Trastornos del músculo y de la unión neuromuscular en enfermedades clasificadas bajo otro concepto,26-35,0.7
G73,Trastornos del músculo y de la unión neuromuscular en enfermedades clasificadas bajo otro concepto,36-45,0.9
G73,Trastornos del músculo y de la unión neuromuscular en enfermedades clasificadas bajo otro concepto,46-55,1.09
G73,Trastornos del músculo y de la unión neuromuscular en enfermedades clasificadas bajo otro concepto,56-65,1.41
G81,Hemiplejia y hemiparesia,26-35,0.71
G81,Hemiplejia y hemiparesia,36-45,0.93
G81,Hemiplejia y hemiparesia,46-55,1.08
G81,Hemiplejia y hemiparesia,56-65,1.39
G82,Paraplejia (paraparesia) y tetraplejia (tetraparesia),26-35,0.71
G82,Paraplejia (paraparesia) y tetraplejia (tetraparesia),36-45,0.88
G82,Paraplejia (paraparesia) y tetraplejia (tetraparesia),46-55,1.09
G82,Paraplejia (paraparesia) y tetraplejia (tetraparesia),56-65,1.26
G83,Otros síndromes paralíticos,26-35,0.71
G83,Otros síndromes paralíticos,36-45,0.88
G83,Otros síndromes paralíticos,46-55,1.09
G83,Otros síndromes paralíticos,56-65,1.26
G89,"Dolor, no clasificado bajo otro concepto",16-25,0.4
G89,"Dolor, no clasificado bajo otro concepto",26-35,0.67
G89,"Dolor, no clasificado bajo otro concepto",36-45,0.93
G89,"Dolor, no clasificado bajo otro concepto",46-55,1.16
G89,"Dolor, no clasificado bajo otro concepto",56-65,1.63
G90,Trastornos del sistema nervioso autónomo,16-25,0.78
G90,Trastornos del sistema nervioso autónomo,26-35,0.8
G90,Trastornos del sistema nervioso autónomo,36-45,0.96
G90,Trastornos del sistema nervioso autónomo,46-55,1.01
G90,Trastornos del sistema nervioso autónomo,56-65,1.2
G91,Hidrocefalia,16-25,0.42
G91,Hidrocefalia,26-35,0.62
G91,Hidrocefalia,36-45,0.81
G91,Hidrocefalia,46-55,1.05
G91,Hidrocefalia,56-65,1.24
G92,Encefalopatía tóxica,26-35,0.9
G92,Encefalopatía tóxica,36-45,0.96
G92,Encefalopatía tóxica,46-55,1.11
G92,Encefalopatía tóxica,56-65,1.22
G93,Otros trastornos del cerebro,16-25,0.7
G93,Otros trastornos del cerebro,26-35,0.89
G93,Otros trastornos del cerebro,36-45,0.78
G93,Otros trastornos del cerebro,46-55,1.08
G93,Otros trastornos del cerebro,56-65,1.37
G95,Otras enfermedades de médula espinal y las no especificadas,26-35,0.67
G95,Otras enfermedades de médula espinal y las no especificadas,36-45,0.98
G95,Otras enfermedades de médula espinal y las no especificadas,46-55,1.04
G95,Otras enfermedades de médula espinal y las no especificadas,56-65,1.16
G96,Otros trastornos del sistema nervioso central,16-25,0.31
G96,Otros trastornos del sistema nervioso central,26-35,0.73
G96,Otros trastornos del sistema nervioso central,36-45,0.82
G96,Otros trastornos del sistema nervioso central,46-55,1.21
G96,Otros trastornos del sistema nervioso central,56-65,1.4
G97,"Complicaciones intraoperatorias y posprocedimiento del sistema nervioso, no clasificadas bajo otro concepto",16-25,0.48
G97,"Complicaciones intraoperatorias y posprocedimiento del sistema nervioso, no clasificadas bajo otro concepto",26-35,0.68
G97,"Complicaciones intraoperatorias y posprocedimiento del sistema nervioso, no clasificadas bajo otro concepto",36-45,0.74
G97,"Complicaciones intraoperatorias y posprocedimiento del sistema nervioso, no clasificadas bajo otro concepto",46-55,1.15
G97,"Complicaciones intraoperatorias y posprocedimiento del sistema nervioso, no clasificadas bajo otro concepto",56-65,1.47
H00,Orzuelo y chalación,16-25,0.65
H00,Orzuelo y chalación,26-35,0.78
H00,Orzuelo y chalación,36-45,0.89
H00,Orzuelo y chalación,46-55,1.21
H00,Orzuelo y chalación,56-65,1.53
H01,Otros tipos de inflamación de párpado,16-25,0.65
H01,Otros tipos de inflamación de párpado,26-35,0.78
H01,Otros tipos de inflamación de párpado,36-45,0.89
H01,Otros tipos de inflamación de párpado,46-55,1.21
H01,Otros tipos de inflamación de párpado,56-65,1.53
H02,Otros trastornos del párpado,16-25,0.51
H02,Otros trastornos del párpado,26-35,0.57
H02,Otros trastornos del párpado,36-45,0.82
H02,Otros trastornos del párpado,46-55,0.95
H02,Otros trastornos del párpado,56-65,1.37
H04,Trastornos de aparato lacrimal,16-25,0.46
H04,Trastornos de aparato lacrimal,26-35,0.7
H04,Trastornos de aparato lacrimal,36-45,0.7
H04,Trastornos de aparato lacrimal,46-55,1
H04,Trastornos de aparato lacrimal,56-65,1.36
H05,Trastornos de órbita,16-25,0.81
H05,Trastornos de órbita,26-35,0.63
H05,Trastornos de órbita,36-45,0.89
H05,Trastornos de órbita,46-55,1.16
H05,Trastornos de órbita,56-65,1.34
H10,Conjuntivitis,16-25,0.6
H10,Conjuntivitis,26-35,0.74
H10,Conjuntivitis,36-45,0.92
H10,Conjuntivitis,46-55,1.26
H10,Conjuntivitis,56-65,1.6
H11,Otros trastornos de conjuntiva,16-25,0.6
H11,Otros trastornos de conjuntiva,26-35,0.74
H11,Otros trastornos de conjuntiva,36-45,0.92
H11,Otros trastornos de conjuntiva,46-55,1.26
H11,Otros trastornos de conjuntiva,56-65,1.6
H15,Trastornos de esclerótica,16-25,0.42
H15,Trastornos de esclerótica,26-35,0.49
H15,Trastornos de esclerótica,36-45,0.78
H15,Trastornos de esclerótica,46-55,1.18
H15,Trastornos de esclerótica,56-65,1.46
H16,Queratitis,16-25,0.61
H16,Queratitis,26-35,0.75
H16,Queratitis,36-45,0.91
H16,Queratitis,46-55,1.21
H16,Queratitis,56-65,1.8
H18,Otros trastornos de córnea,16-25,0.43
H18,Otros trastornos de córnea,26-35,0.77
H18,Otros trastornos de córnea,36-45,0.89
H18,Otros trastornos de córnea,46-55,1.03
H18,Otros trastornos de córnea,56-65,2.02
H20,Iridociclitis,16-25,0.63
H20,Iridociclitis,26-35,0.71
H20,Iridociclitis,36-45,0.84
H20,Iridociclitis,46-55,1.24
H20,Iridociclitis,56-65,1.47
H21,Otros trastornos del iris y del cuerpo ciliar,16-25,0.63
H21,Otros trastornos del iris y del cuerpo ciliar,26-35,0.71
H21,Otros trastornos del iris y del cuerpo ciliar,36-45,0.84
H21,Otros trastornos del iris y del cuerpo ciliar,46-55,1.24
H21,Otros trastornos del iris y del cuerpo ciliar,56-65,1.47
H25,Catarata relacionada con la edad,16-25,0.53
H25,Catarata relacionada con la edad,26-35,0.91
H25,Catarata relacionada con la edad,36-45,0.93
H25,Catarata relacionada con la edad,46-55,0.91
H25,Catarata relacionada con la edad,56-65,1.07
H26,Otras cataratas,16-25,0.53
H26,Otras cataratas,26-35,0.91
H26,Otras cataratas,36-45,0.93
H26,Otras cataratas,46-55,0.91
H26,Otras cataratas,56-65,1.07
H27,Otros trastornos de cristalino,16-25,0.42
H27,Otros trastornos de cristalino,26-35,0.49
H27,Otros trastornos de cristalino,36-45,0.78
H27,Otros trastornos de cristalino,46-55,1.18
H27,Otros trastornos de cristalino,56-65,1.46
H30,Inflamación coriorretiniana,26-35,1
H30,Inflamación coriorretiniana,36-45,0.86
H30,Inflamación coriorretiniana,46-55,0.96
H30,Inflamación coriorretiniana,56-65,1.34
H31,Otros trastornos de coroides,26-35,1
H31,Otros trastornos de coroides,36-45,0.86
H31,Otros trastornos de coroides,46-55,0.96
H31,Otros trastornos de coroides,56-65,1.34
H33,Desprendimientos y rotura de retina,16-25,1.14
H33,Desprendimientos y rotura de retina,26-35,0.86
H33,Desprendimientos y rotura de retina,36-45,0.97
H33,Desprendimientos y rotura de retina,46-55,0.95
H33,Desprendimientos y rotura de retina,56-65,1.08
H34,Oclusiones vasculares retinianas,16-25,0.48
H34,Oclusiones vasculares retinianas,26-35,0.66
H34,Oclusiones vasculares retinianas,36-45,0.76
H34,Oclusiones vasculares retinianas,46-55,0.93
H34,Oclusiones vasculares retinianas,56-65,1.28
H35,Otros trastornos de retina,16-25,0.48
H35,Otros trastornos de retina,26-35,0.66
H35,Otros trastornos de retina,36-45,0.76
H35,Otros trastornos de retina,46-55,0.93
H35,Otros trastornos de retina,56-65,1.28
H40,Glaucoma,16-25,0.68
H40,Glaucoma,26-35,0.85
H40,Glaucoma,36-45,0.92
H40,Glaucoma,46-55,0.86
H40,Glaucoma,56-65,1.2
H43,Trastornos del cuerpo vítreo,16-25,0.42
H43,Trastornos del cuerpo vítreo,26-35,0.49
H43,Trastornos del cuerpo vítreo,36-45,0.78
H43,Trastornos del cuerpo vítreo,46-55,1.18
H43,Trastornos del cuerpo vítreo,56-65,1.46
H44,Trastornos del globo ocular,16-25,0.58
H44,Trastornos del globo ocular,26-35,0.61
H44,Trastornos del globo ocular,36-45,0.9
H44,Trastornos del globo ocular,46-55,1.18
H44,Trastornos del globo ocular,56-65,1.81
H46,Neuritis óptica,16-25,0.49
H46,Neuritis óptica,26-35,0.78
H46,Neuritis óptica,36-45,0.99
H46,Neuritis óptica,46-55,1.2
H46,Neuritis óptica,56-65,1.25
H47,Otros trastornos del nervio óptico [II par] y de las vías ópticas,16-25,0.49
H47,Otros trastornos del nervio óptico [II par] y de las vías ópticas,26-35,0.78
H47,Otros trastornos del nervio óptico [II par] y de las vías ópticas,36-45,0.99
H47,Otros trastornos del nervio óptico [II par] y de las vías ópticas,46-55,1.2
H47,Otros trastornos del nervio óptico [II par] y de las vías ópticas,56-65,1.25
H49,Estrabismo paralítico,16-25,0.59
H49,Estrabismo paralítico,26-35,0.78
H49,Estrabismo paralítico,36-45,0.86
H49,Estrabismo paralítico,46-55,1.17
H49,Estrabismo paralítico,56-65,1.8
H50,Otros tipos de estrabismo,16-25,0.59
H50,Otros tipos de estrabismo,26-35,0.78
H50,Otros tipos de estrabismo,36-45,0.86
H50,Otros tipos de estrabismo,46-55,1.17
H50,Otros tipos de estrabismo,56-65,1.8
H52,Trastornos de refracción y acomodación,16-25,0.69
H52,Trastornos de refracción y acomodación,26-35,0.72
H52,Trastornos de refracción y acomodación,36-45,0.99
H52,Trastornos de refracción y acomodación,46-55,1.51
H52,Trastornos de refracción y acomodación,56-65,2.19
H53,Problemas visuales,16-25,0.46
H53,Problemas visuales,26-35,0.63
H53,Problemas visuales,36-45,0.83
H53,Problemas visuales,46-55,1.12
H53,Problemas visuales,56-65,1.34
H54,Ceguera y baja visión,16-25,0.47
H54,Ceguera y baja visión,26-35,0.54
H54,Ceguera y baja visión,36-45,0.76
H54,Ceguera y baja visión,46-55,1.06
H54,Ceguera y baja visión,56-65,1.52
H55,Nistagmo y otros movimientos oculares irregulares,16-25,0.42
H55,Nistagmo y otros movimientos oculares irregulares,26-35,0.49
H55,Nistagmo y otros movimientos oculares irregulares,36-45,0.78
H55,Nistagmo y otros movimientos oculares irregulares,46-55,1.18
H55,Nistagmo y otros movimientos oculares irregulares,56-65,1.46
H57,Otros trastornos del ojo y sus anexos,16-25,0.42
H57,Otros trastornos del ojo y sus anexos,26-35,0.49
H57,Otros trastornos del ojo y sus anexos,36-45,0.78
H57,Otros trastornos del ojo y sus anexos,46-55,1.18
H57,Otros trastornos del ojo y sus anexos,56-65,1.46
H59,"Complicaciones intraoperatorias y posprocedimiento de ojo y sus anexos, no clasificadas bajo otro concepto",16-25,0.48
H59,"Complicaciones intraoperatorias y posprocedimiento de ojo y sus anexos, no clasificadas bajo otro concepto",26-35,0.68
H59,"Complicaciones intraoperatorias y posprocedimiento de ojo y sus anexos, no clasificadas bajo otro concepto",36-45,0.74
H59,"Complicaciones intraoperatorias y posprocedimiento de ojo y sus anexos, no clasificadas bajo otro concepto",46-55,1.15
H59,"Complicaciones intraoperatorias y posprocedimiento de ojo y sus anexos, no clasificadas bajo otro concepto",56-65,1.47
H60,Otitis externa,16-25,0.49
H60,Otitis externa,26-35,0.72
H60,Otitis externa,36-45,1.02
H60,Otitis externa,46-55,1.41
H60,Otitis externa,56-65,1.99
H61,Otros trastornos del oído externo,16-25,0.49
H61,Otros trastornos del oído externo,26-35,0.72
H61,Otros trastornos del oído externo,36-45,1.02
H61,Otros trastornos del oído externo,46-55,1.41
H61,Otros trastornos del oído externo,56-65,1.99
H62,Trastornos del oído externo en enfermedades clasificadas bajo otro concepto,16-25,0.49
H62,Trastornos del oído externo en enfermedades clasificadas bajo otro concepto,26-35,0.72
H62,Trastornos del oído externo en enfermedades clasificadas bajo otro concepto,36-45,1.02
H62,Trastornos del oído externo en enfermedades clasificadas bajo otro concepto,46-55,1.41
H62,Trastornos del oído externo en enfermedades clasificadas bajo otro concepto,56-65,1.99
H65,Otitis media no supurativa,16-25,0.67
H65,Otitis media no supurativa,26-35,0.73
H65,Otitis media no supurativa,36-45,0.98
H65,Otitis media no supurativa,46-55,1.2
H65,Otitis media no supurativa,56-65,2.09
H66,Otitis media supurativa y no especificada,16-25,0.55
H66,Otitis media supurativa y no especificada,26-35,0.71
H66,Otitis media supurativa y no especificada,36-45,0.95
H66,Otitis media supurativa y no especificada,46-55,1.38
H66,Otitis media supurativa y no especificada,56-65,2.09
H67,Otitis media en enfermedades clasificadas bajo otro concepto,16-25,0.55
H67,Otitis media en enfermedades clasificadas bajo otro concepto,26-35,0.71
H67,Otitis media en enfermedades clasificadas bajo otro concepto,36-45,0.95
H67,Otitis media en enfermedades clasificadas bajo otro concepto,46-55,1.38
H67,Otitis media en enfermedades clasificadas bajo otro concepto,56-65,2.09
H68,Salpingitis y obstrucción de la trompa de Eustaquio,16-25,0.67
H68,Salpingitis y obstrucción de la trompa de Eustaquio,26-35,0.73
H68,Salpingitis y obstrucción de la trompa de Eustaquio,36-45,0.98
H68,Salpingitis y obstrucción de la trompa de Eustaquio,46-55,1.2
H68,Salpingitis y obstrucción de la trompa de Eustaquio,56-65,2.09
H69,Otros trastornos y los no especificados de la trompa de Eustaquio,16-25,0.67
H69,Otros trastornos y los no especificados de la trompa de Eustaquio,26-35,0.73
H69,Otros trastornos y los no especificados de la trompa de Eustaquio,36-45,0.98
H69,Otros trastornos y los no especificados de la trompa de Eustaquio,46-55,1.2
H69,Otros trastornos y los no especificados de la trompa de Eustaquio,56-65,2.09
H70,Mastoiditis y problemas relacionados,16-25,0.33
H70,Mastoiditis y problemas relacionados,26-35,0.73
H70,Mastoiditis y problemas relacionados,36-45,0.96
H70,Mastoiditis y problemas relacionados,46-55,1.06
H70,Mastoiditis y problemas relacionados,56-65,1.7
H71,Colesteatoma del oído medio,16-25,0.59
H71,Colesteatoma del oído medio,26-35,0.87
H71,Colesteatoma del oído medio,36-45,0.92
H71,Colesteatoma del oído medio,46-55,1.03
H71,Colesteatoma del oído medio,56-65,1.34
H72,Perforación de la membrana timpánica,16-25,0.57
H72,Perforación de la membrana timpánica,26-35,0.8
H72,Perforación de la membrana timpánica,36-45,0.86
H72,Perforación de la membrana timpánica,46-55,1.22
H72,Perforación de la membrana timpánica,56-65,1.48
H73,Otros trastornos de la membrana timpánica,16-25,0.57
H73,Otros trastornos de la membrana timpánica,26-35,0.8
H73,Otros trastornos de la membrana timpánica,36-45,0.86
H73,Otros trastornos de la membrana timpánica,46-55,1.22
H73,Otros trastornos de la membrana timpánica,56-65,1.48
H74,Otros trastornos del oído medio y mastoides,16-25,0.59
H74,Otros trastornos del oído medio y mastoides,26-35,0.87
H74,Otros trastornos del oído medio y mastoides,36-45,0.92
H74,Otros trastornos del oído medio y mastoides,46-55,1.03
H74,Otros trastornos del oído medio y mastoides,56-65,1.34
H75,Otros trastornos del oído medio y mastoides en enfermedades clasificadas bajo otro concepto,16-25,0.33
H75,Otros trastornos del oído medio y mastoides en enfermedades clasificadas bajo otro concepto,26-35,0.73
H75,Otros trastornos del oído medio y mastoides en enfermedades clasificadas bajo otro concepto,36-45,0.96
H75,Otros trastornos del oído medio y mastoides en enfermedades clasificadas bajo otro concepto,46-55,1.06
H75,Otros trastornos del oído medio y mastoides en enfermedades clasificadas bajo otro concepto,56-65,1.7
H80,Otoesclerosis,26-35,0.86
H80,Otoesclerosis,36-45,0.89
H80,Otoesclerosis,46-55,0.97
H80,Otoesclerosis,56-65,1.56
H81,Trastornos de la función vestibular,16-25,0.45
H81,Trastornos de la función vestibular,26-35,0.72
H81,Trastornos de la función vestibular,36-45,0.83
H81,Trastornos de la función vestibular,46-55,1.05
H81,Trastornos de la función vestibular,56-65,1.53
H83,Otras enfermedades del oído interno,16-25,0.45
H83,Otras enfermedades del oído interno,26-35,0.72
H83,Otras enfermedades del oído interno,36-45,0.83
H83,Otras enfermedades del oído interno,46-55,1.05
H83,Otras enfermedades del oído interno,56-65,1.53
H90,Pérdida auditiva conductiva y neurosensorial,16-25,0.58
H90,Pérdida auditiva conductiva y neurosensorial,26-35,0.71
H90,Pérdida auditiva conductiva y neurosensorial,36-45,0.88
H90,Pérdida auditiva conductiva y neurosensorial,46-55,1.06
H90,Pérdida auditiva conductiva y neurosensorial,56-65,1.32
H91,Otros tipos de pérdida de audición y los no especificados,16-25,0.58
H91,Otros tipos de pérdida de audición y los no especificados,26-35,0.71
H91,Otros tipos de pérdida de audición y los no especificados,36-45,0.88
H91,Otros tipos de pérdida de audición y los no especificados,46-55,1.06
H91,Otros tipos de pérdida de audición y los no especificados,56-65,1.32
H92,Otalgia y secreción del oído,16-25,0.28
H92,Otalgia y secreción del oído,26-35,0.58
H92,Otalgia y secreción del oído,36-45,0.92
H92,Otalgia y secreción del oído,46-55,1.3
H92,Otalgia y secreción del oído,56-65,2.13
H93,"Otros trastornos del oído, no clasificados bajo otro concepto",16-25,0.28
H93,"Otros trastornos del oído, no clasificados bajo otro concepto",26-35,0.58
H93,"Otros trastornos del oído, no clasificados bajo otro concepto",36-45,0.92
H93,"Otros trastornos del oído, no clasificados bajo otro concepto",46-55,1.3
H93,"Otros trastornos del oído, no clasificados bajo otro concepto",56-65,2.13
I01,Fiebre reumática con afectación cardiaca,26-35,0.72
I01,Fiebre reumática con afectación cardiaca,36-45,0.91
I01,Fiebre reumática con afectación cardiaca,46-55,1.16
I01,Fiebre reumática con afectación cardiaca,56-65,1.43
I05,Enfermedades reumáticas de válvula mitral,36-45,0.81
I05,Enfermedades reumáticas de válvula mitral,46-55,0.86
I05,Enfermedades reumáticas de válvula mitral,56-65,1.17
I06,Enfermedades reumáticas de válvula aórtica,36-45,0.82
I06,Enfermedades reumáticas de válvula aórtica,46-55,0.99
I06,Enfermedades reumáticas de válvula aórtica,56-65,1.11
I08,Enfermedades valvulares múltiples,36-45,0.97
I08,Enfermedades valvulares múltiples,46-55,0.83
I08,Enfermedades valvulares múltiples,56-65,1.09
I10,Hipertensión esencial (primaria),16-25,1.19
I10,Hipertensión esencial (primaria),26-35,1.13
I10,Hipertensión esencial (primaria),36-45,0.87
I10,Hipertensión esencial (primaria),46-55,0.92
I10,Hipertensión esencial (primaria),56-65,1.21
I11,Enfermedad cardiaca hipertensiva,26-35,0.53
I11,Enfermedad cardiaca hipertensiva,36-45,0.8
I11,Enfermedad cardiaca hipertensiva,46-55,0.91
I11,Enfermedad cardiaca hipertensiva,56-65,1.25
I12,Enfermedad renal crónica hipertensiva,26-35,0.74
I12,Enfermedad renal crónica hipertensiva,36-45,0.98
I12,Enfermedad renal crónica hipertensiva,46-55,1.05
I12,Enfermedad renal crónica hipertensiva,56-65,1.08
I13,Enfermedad cardiaca y renal crónica hipertensiva,46-55,1.09
I13,Enfermedad cardiaca y renal crónica hipertensiva,56-65,1.22
I15,Hipertensión secundaria,26-35,0.9
I15,Hipertensión secundaria,36-45,1.06
I15,Hipertensión secundaria,46-55,0.81
I15,Hipertensión secundaria,56-65,1.28
I20,Angina de pecho,26-35,0.48
I20,Angina de pecho,36-45,0.69
I20,Angina de pecho,46-55,0.93
