CÓDIGO,DESCRIPCIÓN,GRUPO DE OCUPACIÓN,RATIO
F40,Trastornos de ansiedad fóbica,16,1.16
F40,Trastornos de ansiedad fóbica,17,0.52
F41,Otros trastornos de ansiedad,1,1.22
F41,Otros trastornos de ansiedad,2,0.78
F41,Otros trastornos de ansiedad,3,1.09
F41,Otros trastornos de ansiedad,4,1.11
F41,Otros trastornos de ansiedad,5,0.99
F41,Otros trastornos de ansiedad,6,1.13
F41,Otros trastornos de ansiedad,7,1.19
F41,Otros trastornos de ansiedad,8,0.92
F41,Otros trastornos de ansiedad,9,1.2
F41,Otros trastornos de ansiedad,10,1.19
F41,Otros trastornos de ansiedad,11,1.24
F41,Otros trastornos de ansiedad,12,1.14
F41,Otros trastornos de ansiedad,13,1.07
F41,Otros trastornos de ansiedad,14,1.3
F41,Otros trastornos de ansiedad,15,1.07
F41,Otros trastornos de ansiedad,16,1.16
F41,Otros trastornos de ansiedad,17,0.52
F42,Trastorno obsesivo-compulsivo,1,1.22
F42,Trastorno obsesivo-compulsivo,2,0.78
F42,Trastorno obsesivo-compulsivo,3,1.09
F42,Trastorno obsesivo-compulsivo,4,1.11
F42,Trastorno obsesivo-compulsivo,5,0.99
F42,Trastorno obsesivo-compulsivo,6,1.13
F42,Trastorno obsesivo-compulsivo,7,1.19
F42,Trastorno obsesivo-compulsivo,8,0.92
F42,Trastorno obsesivo-compulsivo,9,1.2
F42,Trastorno obsesivo-compulsivo,10,1.19
F42,Trastorno obsesivo-compulsivo,11,1.24
F42,Trastorno obsesivo-compulsivo,12,1.14
F42,Trastorno obsesivo-compulsivo,13,1.07
F42,Trastorno obsesivo-compulsivo,14,1.3
F42,Trastorno obsesivo-compulsivo,15,1.07
F42,Trastorno obsesivo-compulsivo,16,1.16
F42,Trastorno obsesivo-compulsivo,17,0.52
F43,Reacción a estrés grave y trastornos de adaptación,2,0.76
F43,Reacción a estrés grave y trastornos de adaptación,3,0.87
F43,Reacción a estrés grave y trastornos de adaptación,4,1.24
F43,Reacción a estrés grave y trastornos de adaptación,5,0.86
F43,Reacción a estrés grave y trastornos de adaptación,6,0.98
F43,Reacción a estrés grave y trastornos de adaptación,7,1.14
F43,Reacción a estrés grave y trastornos de adaptación,8,0.99
F43,Reacción a estrés grave y trastornos de adaptación,12,1.19
F43,Reacción a estrés grave y trastornos de adaptación,14,1.29
F43,Reacción a estrés grave y trastornos de adaptación,15,0.99
F43,Reacción a estrés grave y trastornos de adaptación,16,1.39
F44,Trastornos disociativos y de conversión,1,1.22
F44,Trastornos disociativos y de conversión,2,0.78
F44,Trastornos disociativos y de conversión,3,1.09
F44,Trastornos disociativos y de conversión,4,1.11
F44,Trastornos disociativos y de conversión,5,0.99
F44,Trastornos disociativos y de conversión,6,1.13
F44,Trastornos disociativos y de conversión,7,1.19
F44,Trastornos disociativos y de conversión,8,0.92
F44,Trastornos disociativos y de conversión,9,1.2
F44,Trastornos disociativos y de conversión,10,1.19
F44,Trastornos disociativos y de conversión,11,1.24
F44,Trastornos disociativos y de conversión,12,1.14
F44,Trastornos disociativos y de conversión,13,1.07
F44,Trastornos disociativos y de conversión,14,1.3
F44,Trastornos disociativos y de conversión,15,1.07
F44,Trastornos disociativos y de conversión,16,1.16
F44,Trastornos disociativos y de conversión,17,0.52
F45,Trastornos somatomorfos,1,1.22
F45,Trastornos somatomorfos,2,0.78
F45,Trastornos somatomorfos,3,1.09
F45,Trastornos somatomorfos,4,1.11
F45,Trastornos somatomorfos,5,0.99
F45,Trastornos somatomorfos,6,1.13
F45,Trastornos somatomorfos,7,1.19
F45,Trastornos somatomorfos,8,0.92
F45,Trastornos somatomorfos,9,1.2
F45,Trastornos somatomorfos,10,1.19
F45,Trastornos somatomorfos,11,1.24
F45,Trastornos somatomorfos,12,1.14
F45,Trastornos somatomorfos,13,1.07
F45,Trastornos somatomorfos,14,1.3
F45,Trastornos somatomorfos,15,1.07
F45,Trastornos somatomorfos,16,1.16
F45,Trastornos somatomorfos,17,0.52
F48,Otros trastornos mentales no psicóticos,1,1.22
F48,Otros trastornos mentales no psicóticos,2,0.78
F48,Otros trastornos mentales no psicóticos,3,1.09
F48,Otros trastornos mentales no psicóticos,4,1.11
F48,Otros trastornos mentales no psicóticos,5,0.99
F48,Otros trastornos mentales no psicóticos,6,1.13
F48,Otros trastornos mentales no psicóticos,7,1.19
F48,Otros trastornos mentales no psicóticos,8,0.92
F48,Otros trastornos mentales no psicóticos,9,1.2
F48,Otros trastornos mentales no psicóticos,10,1.19
F48,Otros trastornos mentales no psicóticos,11,1.24
F48,Otros trastornos mentales no psicóticos,12,1.14
F48,Otros trastornos mentales no psicóticos,13,1.07
F48,Otros trastornos mentales no psicóticos,14,1.3
F48,Otros trastornos mentales no psicóticos,15,1.07
F48,Otros trastornos mentales no psicóticos,16,1.16
F48,Otros trastornos mentales no psicóticos,17,0.52
F50,Trastornos de la conducta alimentaria,1,1.12
F50,Trastornos de la conducta alimentaria,2,1.06
F50,Trastornos de la conducta alimentaria,3,1.21
F50,Trastornos de la conducta alimentaria,4,1.1
F50,Trastornos de la conducta alimentaria,5,1.06
F50,Trastornos de la conducta alimentaria,6,1.23
F50,Trastornos de la conducta alimentaria,7,1.15
F50,Trastornos de la conducta alimentaria,8,0.97
F50,Trastornos de la conducta alimentaria,12,1.15
F50,Trastornos de la conducta alimentaria,14,1.21
F50,Trastornos de la conducta alimentaria,15,0.8
F50,Trastornos de la conducta alimentaria,16,1.04
F51,Trastornos del sueño no debidos a sustancia ni afección fisiológica conocida,1,1.12
F51,Trastornos del sueño no debidos a sustancia ni afección fisiológica conocida,2,1.06
F51,Trastornos del sueño no debidos a sustancia ni afección fisiológica conocida,3,1.21
F51,Trastornos del sueño no debidos a sustancia ni afección fisiológica conocida,4,1.1
F51,Trastornos del sueño no debidos a sustancia ni afección fisiológica conocida,5,1.06
F51,Trastornos del sueño no debidos a sustancia ni afección fisiológica conocida,6,1.23
F51,Trastornos del sueño no debidos a sustancia ni afección fisiológica conocida,7,1.15
F51,Trastornos del sueño no debidos a sustancia ni afección fisiológica conocida,8,0.97
F51,Trastornos del sueño no debidos a sustancia ni afección fisiológica conocida,12,1.15
F51,Trastornos del sueño no debidos a sustancia ni afección fisiológica conocida,14,1.21
F51,Trastornos del sueño no debidos a sustancia ni afección fisiológica conocida,15,0.8
F51,Trastornos del sueño no debidos a sustancia ni afección fisiológica conocida,16,1.04
F60,Trastornos específicos de personalidad,1,1.08
F60,Trastornos específicos de personalidad,2,0.91
F60,Trastornos específicos de personalidad,3,1.19
F60,Trastornos específicos de personalidad,4,1.06
F60,Trastornos específicos de personalidad,5,0.98
F60,Trastornos específicos de personalidad,6,1.05
F60,Trastornos específicos de personalidad,7,1.11
F60,Trastornos específicos de personalidad,8,1.01
F60,Trastornos específicos de personalidad,9,1.05
F60,Trastornos específicos de personalidad,10,0.9
F60,Trastornos específicos de personalidad,11,1.06
F60,Trastornos específicos de personalidad,12,0.97
F60,Trastornos específicos de personalidad,13,1.1
F60,Trastornos específicos de personalidad,14,1.06
F60,Trastornos específicos de personalidad,15,1.02
F60,Trastornos específicos de personalidad,16,1.04
F63,Trastorno de los impulsos,7,1.03
F63,Trastorno de los impulsos,15,0.91
F63,Trastorno de los impulsos,16,1.25
F91,Trastornos de conducta,7,1.03
F91,Trastornos de conducta,15,0.91
F91,Trastornos de conducta,16,1.25
F93,Trastornos emocionales con inicio específico en la infancia,1,1.21
F93,Trastornos emocionales con inicio específico en la infancia,2,0.8
F93,Trastornos emocionales con inicio específico en la infancia,3,1.01
F93,Trastornos emocionales con inicio específico en la infancia,4,1.07
F93,Trastornos emocionales con inicio específico en la infancia,5,1.04
F93,Trastornos emocionales con inicio específico en la infancia,6,1.05
F93,Trastornos emocionales con inicio específico en la infancia,7,1.16
F93,Trastornos emocionales con inicio específico en la infancia,8,0.97
F93,Trastornos emocionales con inicio específico en la infancia,9,1.21
F93,Trastornos emocionales con inicio específico en la infancia,10,1.17
F93,Trastornos emocionales con inicio específico en la infancia,11,1.17
F93,Trastornos emocionales con inicio específico en la infancia,12,1.13
F93,Trastornos emocionales con inicio específico en la infancia,13,0.98
F93,Trastornos emocionales con inicio específico en la infancia,14,1.23
F93,Trastornos emocionales con inicio específico en la infancia,15,1.03
F93,Trastornos emocionales con inicio específico en la infancia,16,1.07
F93,Trastornos emocionales con inicio específico en la infancia,17,0.54
F95,Trastorno de tics,1,1.12
F95,Trastorno de tics,2,1.06
F95,Trastorno de tics,3,1.21
F95,Trastorno de tics,4,1.1
F95,Trastorno de tics,5,1.06
F95,Trastorno de tics,6,1.23
F95,Trastorno de tics,7,1.15
F95,Trastorno de tics,8,0.97
F95,Trastorno de tics,12,1.15
F95,Trastorno de tics,14,1.21
F95,Trastorno de tics,15,0.8
F95,Trastorno de tics,16,1.04
G04,"Encefalitis, mielitis y encefalomielitis",4,1.03
G04,"Encefalitis, mielitis y encefalomielitis",7,1.15
G04,"Encefalitis, mielitis y encefalomielitis",15,0.88
G05,"Encefalitis, mielitis y encefalomielitis en enfermedades clasificadas bajo otro concepto",4,1.03
G05,"Encefalitis, mielitis y encefalomielitis en enfermedades clasificadas bajo otro concepto",7,1.15
G05,"Encefalitis, mielitis y encefalomielitis en enfermedades clasificadas bajo otro concepto",15,0.88
G10,Enfermedad de Huntington,2,1.08
G10,Enfermedad de Huntington,4,1.07
G10,Enfermedad de Huntington,5,1.06
G10,Enfermedad de Huntington,6,1.05
G10,Enfermedad de Huntington,7,0.98
G10,Enfermedad de Huntington,8,1.09
G10,Enfermedad de Huntington,11,0.85
G10,Enfermedad de Huntington,12,1.15
G10,Enfermedad de Huntington,15,1.1
G10,Enfermedad de Huntington,16,1.18
G11,Ataxia hereditaria,7,1.08
G11,Ataxia hereditaria,14,1.12
G11,Ataxia hereditaria,15,1.04
G12,Atrofia muscular espinal y síndromes relacionados,4,1.16
G12,Atrofia muscular espinal y síndromes relacionados,15,1.01
G14,Síndrome pospolio,5,1.21
G14,Síndrome pospolio,15,1.17
G20,Enfermedad de Parkinson,1,1.16
G20,Enfermedad de Parkinson,2,1.06
G20,Enfermedad de Parkinson,3,1.06
G20,Enfermedad de Parkinson,4,1.13
G20,Enfermedad de Parkinson,5,0.87
G20,Enfermedad de Parkinson,6,1.22
G20,Enfermedad de Parkinson,7,1.05
G20,Enfermedad de Parkinson,8,1.04
G20,Enfermedad de Parkinson,10,0.94
G20,Enfermedad de Parkinson,11,1.05
G20,Enfermedad de Parkinson,12,1.08
G20,Enfermedad de Parkinson,14,1.12
G20,Enfermedad de Parkinson,15,0.98
G20,Enfermedad de Parkinson,16,1.07
G21,Parkinsonismo secundario,2,1.08
G21,Parkinsonismo secundario,4,1.07
G21,Parkinsonismo secundario,5,1.06
G21,Parkinsonismo secundario,6,1.05
G21,Parkinsonismo secundario,7,0.98
G21,Parkinsonismo secundario,8,1.09
G21,Parkinsonismo secundario,11,0.85
G21,Parkinsonismo secundario,12,1.15
G21,Parkinsonismo secundario,15,1.1
G21,Parkinsonismo secundario,16,1.18
G23,Otras enfermedades degenerativas de los núcleos de la base,2,1.08
G23,Otras enfermedades degenerativas de los núcleos de la base,4,1.07
G23,Otras enfermedades degenerativas de los núcleos de la base,5,1.06
G23,Otras enfermedades degenerativas de los núcleos de la base,6,1.05
G23,Otras enfermedades degenerativas de los núcleos de la base,7,0.98
G23,Otras enfermedades degenerativas de los núcleos de la base,8,1.09
G23,Otras enfermedades degenerativas de los núcleos de la base,11,0.85
G23,Otras enfermedades degenerativas de los núcleos de la base,12,1.15
G23,Otras enfermedades degenerativas de los núcleos de la base,15,1.1
G23,Otras enfermedades degenerativas de los núcleos de la base,16,1.18
G24,Distonía,2,1.08
G24,Distonía,4,1.07
G24,Distonía,5,1.06
G24,Distonía,6,1.05
G24,Distonía,7,0.98
G24,Distonía,8,1.09
G24,Distonía,11,0.85
G24,Distonía,12,1.15
G24,Distonía,15,1.1
G24,Distonía,16,1.18
G25,Otros trastornos extrapiramidales y del movimiento,2,1.08
G25,Otros trastornos extrapiramidales y del movimiento,4,1.07
G25,Otros trastornos extrapiramidales y del movimiento,5,1.06
G25,Otros trastornos extrapiramidales y del movimiento,6,1.05
G25,Otros trastornos extrapiramidales y del movimiento,7,0.98
G25,Otros trastornos extrapiramidales y del movimiento,8,1.09
G25,Otros trastornos extrapiramidales y del movimiento,11,0.85
G25,Otros trastornos extrapiramidales y del movimiento,12,1.15
G25,Otros trastornos extrapiramidales y del movimiento,15,1.1
G25,Otros trastornos extrapiramidales y del movimiento,16,1.18
G30,Enfermedad de Alzheimer,2,0.99
G30,Enfermedad de Alzheimer,4,1.01
G30,Enfermedad de Alzheimer,5,1.15
G30,Enfermedad de Alzheimer,7,1.07
G30,Enfermedad de Alzheimer,8,0.99
G30,Enfermedad de Alzheimer,12,1.11
G30,Enfermedad de Alzheimer,15,0.87
G31,"Otras enfermedades degenerativas del sistema nervioso, no clasificadas bajo otro concepto",2,0.99
G31,"Otras enfermedades degenerativas del sistema nervioso, no clasificadas bajo otro concepto",4,1.01
G31,"Otras enfermedades degenerativas del sistema nervioso, no clasificadas bajo otro concepto",5,1.15
G31,"Otras enfermedades degenerativas del sistema nervioso, no clasificadas bajo otro concepto",7,1.07
G31,"Otras enfermedades degenerativas del sistema nervioso, no clasificadas bajo otro concepto",8,0.99
G31,"Otras enfermedades degenerativas del sistema nervioso, no clasificadas bajo otro concepto",12,1.11
G31,"Otras enfermedades degenerativas del sistema nervioso, no clasificadas bajo otro concepto",15,0.87
G32,Otros trastornos degenerativos del sistema nervioso en enfermedades clasificadas bajo otro concepto,2,1.03
G32,Otros trastornos degenerativos del sistema nervioso en enfermedades clasificadas bajo otro concepto,4,1.08
G32,Otros trastornos degenerativos del sistema nervioso en enfermedades clasificadas bajo otro concepto,5,0.94
G32,Otros trastornos degenerativos del sistema nervioso en enfermedades clasificadas bajo otro concepto,7,1.1
G32,Otros trastornos degenerativos del sistema nervioso en enfermedades clasificadas bajo otro concepto,8,0.96
G32,Otros trastornos degenerativos del sistema nervioso en enfermedades clasificadas bajo otro concepto,10,1.01
G32,Otros trastornos degenerativos del sistema nervioso en enfermedades clasificadas bajo otro concepto,11,1.08
G32,Otros trastornos degenerativos del sistema nervioso en enfermedades clasificadas bajo otro concepto,12,0.99
G32,Otros trastornos degenerativos del sistema nervioso en enfermedades clasificadas bajo otro concepto,15,0.98
G32,Otros trastornos degenerativos del sistema nervioso en enfermedades clasificadas bajo otro concepto,16,0.97
G35,Esclerosis múltiple,1,1.01
G35,Esclerosis múltiple,2,0.8
G35,Esclerosis múltiple,3,0.95
G35,Esclerosis múltiple,4,1.02
G35,Esclerosis múltiple,5,0.97
G35,Esclerosis múltiple,6,1.13
G35,Esclerosis múltiple,7,1.1
G35,Esclerosis múltiple,8,0.96
G35,Esclerosis múltiple,9,1.14
G35,Esclerosis múltiple,10,0.88
G35,Esclerosis múltiple,11,1.2
G35,Esclerosis múltiple,12,1.06
G35,Esclerosis múltiple,13,1.06
G35,Esclerosis múltiple,14,1.12
G35,Esclerosis múltiple,15,1.02
G35,Esclerosis múltiple,16,1.04
G36,Otras desmielinizaciones diseminadas agudas,7,1.09
G36,Otras desmielinizaciones diseminadas agudas,8,1.16
G36,Otras desmielinizaciones diseminadas agudas,15,1.21
G36,Otras desmielinizaciones diseminadas agudas,16,0.97
G37,Otras enfermedades desmielinizantes del sistema nervioso central,7,1.09
G37,Otras enfermedades desmielinizantes del sistema nervioso central,8,1.16
G37,Otras enfermedades desmielinizantes del sistema nervioso central,15,1.21
G37,Otras enfermedades desmielinizantes del sistema nervioso central,16,0.97
G40,Epilepsia y crisis epilépticas recurrentes,1,1.07
G40,Epilepsia y crisis epilépticas recurrentes,2,0.84
G40,Epilepsia y crisis epilépticas recurrentes,3,0.94
G40,Epilepsia y crisis epilépticas recurrentes,4,1.09
G40,Epilepsia y crisis epilépticas recurrentes,5,0.96
G40,Epilepsia y crisis epilépticas recurrentes,6,0.9
G40,Epilepsia y crisis epilépticas recurrentes,7,1.06
G40,Epilepsia y crisis epilépticas recurrentes,8,1.06
G40,Epilepsia y crisis epilépticas recurrentes,9,1.16
G40,Epilepsia y crisis epilépticas recurrentes,10,1.07
G40,Epilepsia y crisis epilépticas recurrentes,11,1.08
G40,Epilepsia y crisis epilépticas recurrentes,12,1.08
G40,Epilepsia y crisis epilépticas recurrentes,13,0.99
G40,Epilepsia y crisis epilépticas recurrentes,14,1.14
G40,Epilepsia y crisis epilépticas recurrentes,15,0.99
G40,Epilepsia y crisis epilépticas recurrentes,16,1.02
G43,Migraña,2,0.88
G43,Migraña,3,1.19
G43,Migraña,4,1.18
G43,Migraña,5,1.03
G43,Migraña,6,1.14
G43,Migraña,7,1.33
G43,Migraña,8,0.81
G43,Migraña,10,1.32
G43,Migraña,12,1.21
G43,Migraña,14,1.55
G43,Migraña,15,0.99
G43,Migraña,16,1.13
G45,Accidentes isquémicos cerebrales transitorios y síndromes relacionados,1,1.06
G45,Accidentes isquémicos cerebrales transitorios y síndromes relacionados,2,0.82
G45,Accidentes isquémicos cerebrales transitorios y síndromes relacionados,4,1.03
G45,Accidentes isquémicos cerebrales transitorios y síndromes relacionados,5,0.95
G45,Accidentes isquémicos cerebrales transitorios y síndromes relacionados,6,0.89
G45,Accidentes isquémicos cerebrales transitorios y síndromes relacionados,7,1.19
G45,Accidentes isquémicos cerebrales transitorios y síndromes relacionados,8,0.99
G45,Accidentes isquémicos cerebrales transitorios y síndromes relacionados,9,0.94
G45,Accidentes isquémicos cerebrales transitorios y síndromes relacionados,10,0.93
G45,Accidentes isquémicos cerebrales transitorios y síndromes relacionados,11,1.12
G45,Accidentes isquémicos cerebrales transitorios y síndromes relacionados,12,1.14
G45,Accidentes isquémicos cerebrales transitorios y síndromes relacionados,14,1.23
G45,Accidentes isquémicos cerebrales transitorios y síndromes relacionados,15,0.95
G45,Accidentes isquémicos cerebrales transitorios y síndromes relacionados,16,1.09
G46,Síndromes vasculares cerebrales en enfermedades cerebrovasculares,1,1.06
G46,Síndromes vasculares cerebrales en enfermedades cerebrovasculares,2,0.82
G46,Síndromes vasculares cerebrales en enfermedades cerebrovasculares,4,1.03
G46,Síndromes vasculares cerebrales en enfermedades cerebrovasculares,5,0.95
G46,Síndromes vasculares cerebrales en enfermedades cerebrovasculares,6,0.89
G46,Síndromes vasculares cerebrales en enfermedades cerebrovasculares,7,1.19
G46,Síndromes vasculares cerebrales en enfermedades cerebrovasculares,8,0.99
G46,Síndromes vasculares cerebrales en enfermedades cerebrovasculares,9,0.94
G46,Síndromes vasculares cerebrales en enfermedades cerebrovasculares,10,0.93
G46,Síndromes vasculares cerebrales en enfermedades cerebrovasculares,11,1.12
G46,Síndromes vasculares cerebrales en enfermedades cerebrovasculares,12,1.14
G46,Síndromes vasculares cerebrales en enfermedades cerebrovasculares,14,1.23
G46,Síndromes vasculares cerebrales en enfermedades cerebrovasculares,15,0.95
G46,Síndromes vasculares cerebrales en enfermedades cerebrovasculares,16,1.09
G50,Trastornos del nervio trigémino,2,0.97
G50,Trastornos del nervio trigémino,4,1.17
G50,Trastornos del nervio trigémino,5,0.91
G50,Trastornos del nervio trigémino,6,1.31
G50,Trastornos del nervio trigémino,7,1.15
G50,Trastornos del nervio trigémino,8,1.03
G50,Trastornos del nervio trigémino,12,1.08
G50,Trastornos del nervio trigémino,15,1.06
G51,Trastornos del nervio facial,2,0.94
G51,Trastornos del nervio facial,4,0.95
G51,Trastornos del nervio facial,5,1.11
G51,Trastornos del nervio facial,7,1.37
G51,Trastornos del nervio facial,8,1.08
G51,Trastornos del nervio facial,12,1.09
G51,Trastornos del nervio facial,14,1.39
G51,Trastornos del nervio facial,15,1.07
G51,Trastornos del nervio facial,16,1.01
G54,Trastornos de raíces y de plexos nerviosos,1,0.92
G54,Trastornos de raíces y de plexos nerviosos,2,0.68
G54,Trastornos de raíces y de plexos nerviosos,4,1.08
G54,Trastornos de raíces y de plexos nerviosos,5,0.96
G54,Trastornos de raíces y de plexos nerviosos,6,1.07
G54,Trastornos de raíces y de plexos nerviosos,7,1.15
G54,Trastornos de raíces y de plexos nerviosos,8,0.81
G54,Trastornos de raíces y de plexos nerviosos,9,1.05
G54,Trastornos de raíces y de plexos nerviosos,10,1.25
G54,Trastornos de raíces y de plexos nerviosos,11,1.14
G54,Trastornos de raíces y de plexos nerviosos,12,1.21
G54,Trastornos de raíces y de plexos nerviosos,13,1.11
G54,Trastornos de raíces y de plexos nerviosos,14,0.98
G54,Trastornos de raíces y de plexos nerviosos,15,1.13
G54,Trastornos de raíces y de plexos nerviosos,16,1.12
G56,Mononeuropatías de extremidad superior,1,1.12
G56,Mononeuropatías de extremidad superior,2,0.76
G56,Mononeuropatías de extremidad superior,3,1.16
G56,Mononeuropatías de extremidad superior,4,1.05
G56,Mononeuropatías de extremidad superior,5,0.94
G56,Mononeuropatías de extremidad superior,6,0.91
G56,Mononeuropatías de extremidad superior,7,1.17
G56,Mononeuropatías de extremidad superior,8,1.01
G56,Mononeuropatías de extremidad superior,9,1.25
G56,Mononeuropatías de extremidad superior,10,1
G56,Mononeuropatías de extremidad superior,11,1.17
G56,Mononeuropatías de extremidad superior,12,1.14
G56,Mononeuropatías de extremidad superior,13,1.21
G56,Mononeuropatías de extremidad superior,14,1.17
G56,Mononeuropatías de extremidad superior,15,1.01
G56,Mononeuropatías de extremidad superior,16,1.11
G57,Mononeuropatías de extremidad inferior,2,0.81
G57,Mononeuropatías de extremidad inferior,4,0.93
G57,Mononeuropatías de extremidad inferior,5,0.98
G57,Mononeuropatías de extremidad inferior,6,1.01
G57,Mononeuropatías de extremidad inferior,7,1.31
G57,Mononeuropatías de extremidad inferior,8,0.91
G57,Mononeuropatías de extremidad inferior,10,1
G57,Mononeuropatías de extremidad inferior,11,1.26
G57,Mononeuropatías de extremidad inferior,12,1.16
G57,Mononeuropatías de extremidad inferior,13,0.95
G57,Mononeuropatías de extremidad inferior,14,1.19
G57,Mononeuropatías de extremidad inferior,15,1.05
G57,Mononeuropatías de extremidad inferior,16,1.09
G58,Otras mononeuropatías,1,1.12
G58,Otras mononeuropatías,2,0.76
G58,Otras mononeuropatías,3,1.16
G58,Otras mononeuropatías,4,1.05
G58,Otras mononeuropatías,5,0.94
G58,Otras mononeuropatías,6,0.91
G58,Otras mononeuropatías,7,1.17
G58,Otras mononeuropatías,8,1.01
G58,Otras mononeuropatías,9,1.25
G58,Otras mononeuropatías,10,1
G58,Otras mononeuropatías,11,1.17
G58,Otras mononeuropatías,12,1.14
G58,Otras mononeuropatías,13,1.21
G58,Otras mononeuropatías,14,1.17
G58,Otras mononeuropatías,15,1.01
G58,Otras mononeuropatías,16,1.11
G60,Neuropatía hereditaria e idiopática,2,0.86
G60,Neuropatía hereditaria e idiopática,4,1.12
G60,Neuropatía hereditaria e idiopática,5,0.93
G60,Neuropatía hereditaria e idiopática,6,1.05
G60,Neuropatía hereditaria e idiopática,7,0.99
G60,Neuropatía hereditaria e idiopática,8,0.99
G60,Neuropatía hereditaria e idiopática,10,0.9
G60,Neuropatía hereditaria e idiopática,11,1.05
G60,Neuropatía hereditaria e idiopática,12,1.15
G60,Neuropatía hereditaria e idiopática,14,0.97
G60,Neuropatía hereditaria e idiopática,15,1.04
G60,Neuropatía hereditaria e idiopática,16,0.98
G61,Polineuropatía inflamatoria,1,1.06
G61,Polineuropatía inflamatoria,2,0.82
G61,Polineuropatía inflamatoria,3,1.06
G61,Polineuropatía inflamatoria,4,0.95
G61,Polineuropatía inflamatoria,5,1.02
G61,Polineuropatía inflamatoria,6,0.98
G61,Polineuropatía inflamatoria,7,1
G61,Polineuropatía inflamatoria,8,0.91
G61,Polineuropatía inflamatoria,9,1.08
G61,Polineuropatía inflamatoria,10,1.01
G61,Polineuropatía inflamatoria,11,1.19
G61,Polineuropatía inflamatoria,12,1.16
G61,Polineuropatía inflamatoria,13,0.95
G61,Polineuropatía inflamatoria,14,1.11
G61,Polineuropatía inflamatoria,15,0.94
G61,Polineuropatía inflamatoria,16,1.02
G62,Otras polineuropatías y las no especificadas,1,1.06
G62,Otras polineuropatías y las no especificadas,2,0.82
G62,Otras polineuropatías y las no especificadas,3,1.06
G62,Otras polineuropatías y las no especificadas,4,0.95
G62,Otras polineuropatías y las no especificadas,5,1.02
G62,Otras polineuropatías y las no especificadas,6,0.98
G62,Otras polineuropatías y las no especificadas,7,1
G62,Otras polineuropatías y las no especificadas,8,0.91
G62,Otras polineuropatías y las no especificadas,9,1.08
G62,Otras polineuropatías y las no especificadas,10,1.01
G62,Otras polineuropatías y las no especificadas,11,1.19
G62,Otras polineuropatías y las no especificadas,12,1.16
G62,Otras polineuropatías y las no especificadas,13,0.95
G62,Otras polineuropatías y las no especificadas,14,1.11
G62,Otras polineuropatías y las no especificadas,15,0.94
G62,Otras polineuropatías y las no especificadas,16,1.02
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,1,1.06
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,2,0.82
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,3,1.06
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,4,0.95
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,5,1.02
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,6,0.98
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,7,1
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,8,0.91
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,9,1.08
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,10,1.01
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,11,1.19
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,12,1.16
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,13,0.95
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,14,1.11
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,15,0.94
G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,16,1.02
G70,Miastenia gravis y otros trastornos mioneurales,2,0.85
G70,Miastenia gravis y otros trastornos mioneurales,4,1.1
G70,Miastenia gravis y otros trastornos mioneurales,5,0.95
G70,Miastenia gravis y otros trastornos mioneurales,7,1.05
G70,Miastenia gravis y otros trastornos mioneurales,8,1.02
G70,Miastenia gravis y otros trastornos mioneurales,11,1.2
G70,Miastenia gravis y otros trastornos mioneurales,14,0.89
G70,Miastenia gravis y otros trastornos mioneurales,15,1.07
G71,Trastornos musculares primarios,2,0.83
G71,Trastornos musculares primarios,4,1.04
G71,Trastornos musculares primarios,5,1.09
G71,Trastornos musculares primarios,7,0.98
G71,Trastornos musculares primarios,8,1
G71,Trastornos musculares primarios,10,0.97
G71,Trastornos musculares primarios,11,1.01
G71,Trastornos musculares primarios,12,1.21
G71,Trastornos musculares primarios,14,1.08
G71,Trastornos musculares primarios,15,1.02
G71,Trastornos musculares primarios,16,1
G72,Otras miopatías y las no especificadas,2,0.83
G72,Otras miopatías y las no especificadas,4,1.04
G72,Otras miopatías y las no especificadas,5,1.09
G72,Otras miopatías y las no especificadas,7,0.98
G72,Otras miopatías y las no especificadas,8,1
G72,Otras miopatías y las no especificadas,10,0.97
G72,Otras miopatías y las no especificadas,11,1.01
G72,Otras miopatías y las no especificadas,12,1.21
G72,Otras miopatías y las no especificadas,14,1.08
G72,Otras miopatías y las no especificadas,15,1.02
G72,Otras miopatías y las no especificadas,16,1
G73,Trastornos del músculo y de la unión neuromuscular en enfermedades clasificadas bajo otro concepto,2,0.83
G73,Trastornos del músculo y de la unión neuromuscular en enfermedades clasificadas bajo otro concepto,4,1.04
